"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Clinopodium nepeta subsp. sylvaticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium vulgare","Clinopodium vulgare","",1055,23.6,NA,0.044778251,258,NA,"7",0.3547,"Herb",0.419444444444444
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis subsp. cheiranthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colchicum autumnale","Colchicum autumnale","",5411.05,21.632,NA,0.330304,128.138,NA,"8",6.205,"Herb",0.225
"Coleostephus myconis","Coleostephus myconis","",NA,NA,NA,NA,NA,NA,"",0.32,"Herb",NA
"Commelina","Commelina communis","",NA,NA,NA,NA,NA,21.6,"",8.48,"Herb",NA
"Commelina communis","Commelina communis","",NA,NA,NA,NA,NA,21.6,"",8.48,"Herb",NA
"Conium","Conium maculatum","",54419.815,24.0155555555556,NA,1.14605692833333,196.654444444444,NA,"6",2.97488461538462,"Herb",1.89
"Conium maculatum","Conium maculatum","",54419.815,24.0155555555556,NA,1.14605692833333,196.654444444444,NA,"6",2.97488461538462,"Herb",1.89
"Conopodium majus","Conopodium majus","",446,22.5,NA,0.0185698113333333,189.333333333333,NA,"5",2.7325,"Forb_herb",0.274444444444444
"Conringia orientalis","Conringia orientalis","",4795.599,29.5723066666667,NA,0.19205,85.374,NA,"5_6",2.56322833333333,"Herb",0.3075
"Convolvulus","Convolvulus althaeoides_Convolvulus arvensis","",465.974779327586,28.7391532318519,10.273695,0.0360681204666667,173.398646930769,48.5868675,"6_7",18.3766666666667,"Climber_herb",0.207454545454545
"Convolvulus althaeoides","Convolvulus althaeoides","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_herb",NA
"Convolvulus arvensis","Convolvulus arvensis","",465.974779327586,28.7391532318519,10.273695,0.0360681204666667,173.398646930769,48.5868675,"6_7",18.3766666666667,"Climber_herb",0.207454545454545
"Convolvulus cantabrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus sepium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus soldanella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum","Coriandrum sativum","",1166.75,47.427,NA,0.023594,145.481,NA,"6",13.0428571428571,"Herb",0.468571428571429
"Coris monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum nitidum","Corispermum nitidum","",NA,NA,NA,NA,NA,NA,"",1.3,"Herb",NA
"Cornus","Cornus alba_Cornus mas_Cornus sanguinea","",1562.435,23.3204744510154,10.33,0.064014,240.135,21,"2_5_5_6",110.609403288889,"Herb_shrub_Shrub_Shrub_tree",2.67990196078431
"Cornus alba","Cornus alba","",NA,NA,NA,NA,NA,NA,"5_6",50,"Shrub",2
"Cornus mas","Cornus mas","",1884.57,31.939,NA,0.064014,225.27,NA,"2",213.9465432,"Shrub_tree",3.5
"Cornus sanguinea","Cornus sanguinea","",1240.3,14.7019489020308,10.33,NA,255,21,"5",67.8816666666667,"Herb_shrub",2.53970588235294
"Cornus sanguinea subsp. sanguinea","Cornus sanguinea","",1240.3,14.7019489020308,10.33,NA,255,21,"5",67.8816666666667,"Herb_shrub",2.53970588235294
"Coronilla","Coronilla scorpioides_Coronilla varia","",1486.66666666667,30.2126666666667,NA,0.0427344,172.362,NA,"",3.56,"Forb_Herb",0.471875
"Coronilla scorpioides","Coronilla scorpioides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Coronilla varia","Coronilla varia","",1486.66666666667,30.2126666666667,NA,0.0427344,172.362,NA,"",3.56,"Forb",0.471875
"Corrigiola litoralis","Corrigiola litoralis","",21.64,29.9986666666667,NA,0.0008868,139.544666666667,NA,"7",0.316666666666667,"Herb",0.112083333333333
"Corrigiola littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus avellana","Corylus avellana","",3272.17142857143,19.4326653124865,NA,NA,283.75,24.8,"2",1096.23131416667,"Shrub_tree",4.14457575757576
"Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota austriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria","Cota tinctoria","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea","Crassula tillaea","",NA,NA,NA,NA,NA,NA,"5",0.009864,"Herb",0.025
"Crataegus","Crataegus laevigata_Crataegus monogyna","Purple",616.676661111111,15.6167378989637,10.7423333333333,0.038575,343.065428571429,18.1033585714286,"5",107.572689473684,"Shrub_tree_tree*_Shrub_tree_woody",6.20171588888889
"Crataegus laevigata","Crataegus laevigata","",730,20.3416666666667,NA,0.038575,349.988,NA,"5",51.324,"Shrub_tree_tree*",6
"Crataegus monogyna","Crataegus monogyna","Purple",503.353322222222,10.8918091312607,10.7423333333333,NA,336.142857142857,18.1033585714286,"5",163.821378947368,"Shrub_tree_woody",6.40343177777778
"Crataegus x subsphaerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis","Crepis biennis_Crepis capillaris_Crepis foetida_Crepis pulchra_Crepis rubra_Crepis sancta_Crepis setosa_Crepis tectorum_Crepis vesicaria","",2233.99753846154,27.8262051449432,NA,1.43490977926587,139.989935897436,NA,"5_6",0.719911,"Forb_herb_Herb",0.284655555555556
"Crepis bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis","Crepis biennis","",6087.5,24.2866884057971,NA,4.19546535646429,132.5,NA,"5",NA,"Herb",0.575
"Crepis bursifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis capillaris","Crepis capillaris","",299.065692307692,42.2164184,NA,0.0517989813333333,125.666666666667,NA,"6",0.227644,"Forb_herb",0.174422222222222
"Crepis foetida","Crepis foetida","",NA,NA,NA,NA,NA,NA,"6",0.825,"Herb",0.15
"Crepis foetida subsp. rhoeadifolia","Crepis foetida","",NA,NA,NA,NA,NA,NA,"6",0.825,"Herb",0.15
"Crepis leontodontoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra","Crepis pulchra","",NA,NA,NA,NA,NA,NA,"5",NA,"Herb",0.35
"Crepis pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rubra","Crepis rubra","",NA,NA,NA,NA,NA,NA,"",1.5,"Herb",NA
"Crepis sancta","Crepis sancta","",NA,26.8,NA,NA,128,NA,"",NA,"Herb",NA
"Crepis setosa","Crepis setosa","",NA,NA,NA,NA,NA,NA,"6",NA,"Herb",0.225
"Crepis tectorum","Crepis tectorum","",NA,17.2,NA,NA,NA,NA,"5",NA,"Herb",0.265
"Crepis vesicaria","Crepis vesicaria","",315.426923076923,28.6279189189189,NA,0.057465,173.793076923077,NA,"5",0.327,"Herb",0.253166666666667
"Crepis vesicaria subsp. taraxacifolia","Crepis vesicaria","",315.426923076923,28.6279189189189,NA,0.057465,173.793076923077,NA,"5",0.327,"Herb",0.253166666666667
"Cruciata glabra","Cruciata glabra","",NA,NA,NA,NA,NA,NA,"4",1.43,"Herb",0.2
"Cruciata laevipes","Cruciata laevipes","",89.6666666666667,27.1873333333333,NA,0.00296324166666667,232.666666666667,NA,"4",NA,"Herb",0.3
"Cucurbita","Cucurbita pepo","",28965,17.484,NA,1.63714,105.48,NA,"",133.3,"Climber_herb_herbaceous climber_liana",5.5
"Cucurbita pepo","Cucurbita pepo","",28965,17.484,NA,1.63714,105.48,NA,"",133.3,"Climber_herb_herbaceous climber_liana",5.5
"Cullen americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta","Cuscuta campestris_Cuscuta epilinum_Cuscuta monogyna","",NA,NA,NA,NA,NA,NA,"6_7",0.775,"Climber_Herb*_parasite_vine*",NA
"Cuscuta campestris","Cuscuta campestris","",NA,NA,NA,NA,NA,NA,"7",0.775,"Herb*_parasite_vine*",NA
"Cuscuta epilinum","Cuscuta epilinum","",NA,NA,NA,NA,NA,NA,"6",NA,"Climber",NA
"Cuscuta monogyna","Cuscuta monogyna","",NA,NA,NA,NA,NA,NA,"6",NA,"Climber",NA
"Cyanus depressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanus segetum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cydonia oblonga","Cydonia oblonga","White",1745,11.36,NA,NA,NA,23,"5",32.47,"Shrub_tree",4.05
"Cymbalaria muralis","Cymbalaria muralis","",875.5,24.8666666666667,NA,0.029256895,85,NA,"6",0.13,"Herb",0.25
"Cynanchum acutum","Cynanchum acutum","",NA,NA,NA,NA,NA,NA,"",10.409,"Climber*_herb",NA
"Cynara cardunculus","Cynara cardunculus","",61254.5,14.67715,NA,NA,1.705,NA,"",32.0777777777778,"Herb",0.14215
"Cynodon","Cynodon dactylon","Yellow",116.25,30.928,NA,0.00587533333333333,228.646,NA,"7",0.2333,"5_graminoid_herb",0.24613
"Cynodon dactylon","Cynodon dactylon","Yellow",116.25,30.928,NA,0.00587533333333333,228.646,NA,"7",0.2333,"5_graminoid_herb",0.24613
"Cynoglossum cheirifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum creticum","Cynoglossum creticum","",NA,NA,NA,NA,NA,NA,"",18.8,"Herb",NA
"Cynoglossum officinale","Cynoglossum officinale","",3173.66666666667,23.5458333333333,NA,0.0861064131818182,144.330833333333,30.0084,"5_6",26.8201111111111,"Herb",0.497222222222222
"Cynosurus cristatus","Cynosurus cristatus","",348.136025,22.9468112889474,NA,0.0119881271428571,245.178659327273,NA,"6",0.493052923076923,"Grass_herb",0.433525272727273
"Cynosurus echinatus","Cynosurus echinatus","",NA,53.2696040161145,12.35696375,NA,NA,37.4209533333333,"5",1.5273225,"Herb",0.3875
"Cyperus","Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus longus_Cyperus rotundus","Green",1247,25.42,NA,0.055984,221.36,NA,"6_7",0.141222222222222,"Cyperoid_herb_Herb_Herb_sedge",0.508571428571429
"Cyperus difformis","Cyperus difformis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_sedge",NA
"Cyperus eragrostis","Cyperus eragrostis","",NA,NA,NA,NA,NA,NA,"6",0.114,"Herb",NA
"Cyperus esculentus","Cyperus esculentus","Green",NA,27.29,NA,NA,NA,NA,"7",0.16,"Herb",NA
"Cyperus longus","Cyperus longus","",1247,23.55,NA,0.055984,221.36,NA,"7",NA,"Cyperoid_herb",0.508571428571429
"Cyperus rotundus","Cyperus rotundus","",NA,NA,NA,NA,NA,NA,"",0.149666666666667,"Herb",NA
"Cytisus scoparius","Cytisus scoparius","Yellow",19.6,12.4571451724936,NA,NA,200,29,"5_9",80.494895498538,"Herb*_shrub_tree*",1.20555555555556
"Dactylis","Dactylis glomerata","Yellow",404.410838336449,25.6180945078378,13.5814725,0.0530141463,265.337500018182,27.5965444333333,"5_6_7",0.846644654545455,"Grass_herb",0.27101383
"Dactylis glomerata","Dactylis glomerata","Yellow",404.410838336449,25.6180945078378,13.5814725,0.0530141463,265.337500018182,27.5965444333333,"5_6_7",0.846644654545455,"Grass_herb",0.27101383
"Dactylis glomerata subsp. glomerata","Dactylis glomerata","Yellow",404.410838336449,25.6180945078378,13.5814725,0.0530141463,265.337500018182,27.5965444333333,"5_6_7",0.846644654545455,"Grass_herb",0.27101383
"Dasypyrum villosum","Dasypyrum villosum","",2753.507,NA,NA,0.12469,NA,NA,"",5.3,"Herb",NA
"Datura stramonium","Datura stramonium","",14739.875,25.9304849505263,9.772,0.731714,138.868,57.2,"6",10.3750769230769,"Herb_shrub",1.29166666666667
"Daucus","Daucus carota","",1920.279598,23.0545981708824,13.2457865,0.016184,228.456823981818,22.7703205,"5_6",1.12313698630137,"Forb_herb",0.450307692307692
"Daucus carota","Daucus carota","",1920.279598,23.0545981708824,13.2457865,0.016184,228.456823981818,22.7703205,"5_6",1.12313698630137,"Forb_herb",0.450307692307692
"Daucus carota subsp. carota","Daucus carota","",1920.279598,23.0545981708824,13.2457865,0.016184,228.456823981818,22.7703205,"5_6",1.12313698630137,"Forb_herb",0.450307692307692
"Daucus crinitus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium ajacis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium consolida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium halteratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium hispanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium verdunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deschampsia cespitosa","Deschampsia cespitosa","",4105.06173218182,17.2273219146444,NA,0.0504066749655172,337.772993324242,20.683335,"5_6",0.25475,"Aquatic sedge_graminoid_grass_herb",0.223133333333333
"Descurainia sophia","Descurainia sophia","",765.75,27.053,NA,0.02495,169.702,46.94,"5_6",0.107875,"Herb",0.463636363636364
"Dianthus","Dianthus armeria_Dianthus carthusianorum","",231,16.8464285714286,NA,0.014894,187.814,NA,"6",1.02,"Herb",0.3221875
"Dianthus armeria","Dianthus armeria","",231,15.9814285714286,NA,0.014894,187.814,NA,"6",1.02,"Herb",0.384375
"Dianthus carthusianorum","Dianthus carthusianorum","",NA,17.7114285714286,NA,NA,NA,NA,"6",NA,"Herb",0.26
"Dianthus carthusianorum subsp. carthusianorum","Dianthus carthusianorum","",NA,17.7114285714286,NA,NA,NA,NA,"6",NA,"Herb",0.26
"Digitalis","Digitalis grandiflora_Digitalis purpurea","Purple",19787.0766666667,21.3186500514286,NA,1.3610421265,213.055,37.8,"6",0.294586575,"Forb_herb_Herb",0.69117345
"Digitalis grandiflora","Digitalis grandiflora","",7415.5,25.06042296,NA,0.281018,183.61,NA,"6",0.5,"Herb",0.525
"Digitalis purpurea","Digitalis purpurea","Purple",32158.6533333333,17.5768771428571,NA,2.441066253,242.5,37.8,"6",0.08917315,"Forb_herb",0.8573469
"Digitaria","Digitaria ischaemum_Digitaria sanguinalis","",2290.21613636364,38.449,NA,0.0364426666666667,172.188,NA,"7_8",0.516,"Grass_herb_Herb",0.169
"Digitaria ischaemum","Digitaria ischaemum","",109.875,41.86,NA,0.00817333333333333,170.172,NA,"7_8",0.51,"Herb",0.148
"Digitaria sanguinalis","Digitaria sanguinalis","",4470.55727272727,35.038,NA,0.064712,174.204,NA,"7_8",0.522,"Grass_herb",0.19
"Dioscorea communis","Dioscorea communis","",6124,30.3,NA,0.22004255,151,NA,"5",19.706,"Climber_herb",2.1875
"Diplotaxis","Diplotaxis erucoides_Diplotaxis muralis_Diplotaxis tenuifolia_Diplotaxis viminea","",6324.02538461538,23.4263333333333,NA,0.0738898885,124.838666666667,NA,"5_6",0.266333333333333,"Herb",0.194861111111111
"Diplotaxis erucoides","Diplotaxis erucoides","",NA,26.369,NA,NA,124.58,NA,"",0.2,"Herb",NA
"Diplotaxis muralis","Diplotaxis muralis","",710.5,21.46,NA,0.034301,136.936,NA,"6",0.279,"Herb",0.163333333333333
"Diplotaxis tenuifolia","Diplotaxis tenuifolia","",11937.5507692308,22.45,NA,0.113478777,113,NA,"5",0.32,"Herb",0.35625
"Diplotaxis viminea","Diplotaxis viminea","",NA,NA,NA,NA,NA,NA,"6",NA,"Herb",0.065
"Diplotaxis virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus fullonum","Dipsacus fullonum","",23937,20.076716665,NA,1.118242889,167,NA,"7",2.67266666666667,"Forb_herb",0.95
"Dipsacus sativus","Dipsacus sativus","",NA,NA,NA,NA,NA,NA,"7",0.06975,"Herb",1.075
"Dittrichia graveolens","Dittrichia graveolens","",NA,NA,NA,NA,NA,NA,"7",0.4,"Herb",NA
"Dittrichia viscosa","Dittrichia viscosa","",NA,18.5757433,9.772,NA,NA,34,"",0.3,"Herb_shrub",NA
"Draba","Draba verna","",118.5,NA,NA,NA,NA,NA,"",0.0324,"Herb",0.055
"Draba verna","Draba verna","",118.5,NA,NA,NA,NA,NA,"",0.0324,"Herb",0.055
"Dryopteris","Dryopteris filix-mas","",11785.4444444444,24.2,NA,3.95316974,295,NA,"",NA,"Fern_herb",0.75
"Dryopteris filix-mas","Dryopteris filix-mas","",11785.4444444444,24.2,NA,3.95316974,295,NA,"",NA,"Fern_herb",0.75
"Dysphania ambrosioides","Dysphania ambrosioides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Ecballium elaterium","Ecballium elaterium","",NA,NA,NA,NA,NA,NA,"",5.9,"Forb_herb",NA
"Echinaria capitata","Echinaria capitata","",NA,NA,NA,NA,NA,NA,"",1.1,"Herb",NA
"Echinochloa","Echinochloa colona","Green",NA,NA,NA,NA,NA,NA,"",1,"Grass_herb",NA
"Echinochloa colona","Echinochloa colona","Green",NA,NA,NA,NA,NA,NA,"",1,"Grass_herb",NA
"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops ritro","Echinops ritro","",NA,10.5809523808571,9.909,NA,185,26.8996,"",43.6,"Herb",NA
"Echium","Echium asperrimum_Echium plantagineum_Echium vulgare","",2368.85060096154,18.30375,NA,0.282503578,142,NA,"5",4.10727777777778,"Herb",0.378496870109546
"Echium arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium asperrimum","Echium asperrimum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Echium plantagineum","Echium plantagineum","",214.701201923077,22.1575,NA,NA,NA,NA,"",5.5,"Herb",0.245882629107981
"Echium vulgare","Echium vulgare","",4523,14.45,NA,0.282503578,142,NA,"5",2.71455555555556,"Herb",0.511111111111111
"Eleocharis palustris","Eleocharis palustris","",1508.398025,20.07402814,NA,0.030555333,219.276,14.5,"5_6_7",0.795135,"Aquatic*_forb_herb_sedge",0.7375
"Elymus","Elymus caninus","",1156.5,27.85,NA,0.042862022,309.5,NA,"6",2.63,"Grass_herb",0.805
"Elymus caninus","Elymus caninus","",1156.5,27.85,NA,0.042862022,309.5,NA,"6",2.63,"Grass_herb",0.805
"Elytrigia","Elytrigia intermedia_Elytrigia repens","",NA,18.1104843666667,12.742,NA,NA,20.6444075,"6_6_7",2.14525,"Grass_Herb",1
"Elytrigia campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia intermedia","Elytrigia intermedia","",NA,NA,NA,NA,NA,NA,"6",NA,"Herb",NA
"Elytrigia intermedia subsp. intermedia","Elytrigia intermedia","",NA,NA,NA,NA,NA,NA,"6",NA,"Herb",NA
"Elytrigia juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia repens","Elytrigia repens","",NA,18.1104843666667,12.742,NA,NA,20.6444075,"6_7",2.14525,"Grass",1
"Ephippiger perforatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium","Epilobium ciliatum_Epilobium hirsutum_Epilobium lanceolatum_Epilobium montanum_Epilobium obscurum_Epilobium palustre_Epilobium parviflorum_Epilobium roseum_Epilobium tetragonum","Pink",2684.11526191759,32.2049297084821,NA,0.0479281287402597,172.933531048485,NA,"6_6_8_7",0.0939056018518519,"Forb_herb_Herb",0.540632295173962
"Epilobium ciliatum","Epilobium ciliatum","Pink",817.87586,41.8736641666667,NA,0.0227102461818182,159.602727272727,NA,"6_8",0.09148375,"Forb_herb",0.855
"Epilobium hirsutum","Epilobium hirsutum","",2833,26.2435548666667,NA,0.13014081,242.091990066667,NA,"6",0.101333333333333,"Forb_herb",1.02145454545455
"Epilobium lanceolatum","Epilobium lanceolatum","",NA,NA,NA,NA,NA,NA,"6",0.11,"",0.36875
"Epilobium montanum","Epilobium montanum","",2187,30.2529166666667,NA,0.0917561713333333,229.333333333333,NA,"6",0.123333333333333,"Forb_herb",0.394444444444444
"Epilobium obscurum","Epilobium obscurum","",1161,30.2,NA,0.036502116,135,NA,"6",0.09,"Forb_herb",0.55
"Epilobium palustre","Epilobium palustre","",397.922825275,35.0943019678571,NA,0.015918791,134.173333333333,NA,"7",0.045,"Forb_herb",0.325
"Epilobium parviflorum","Epilobium parviflorum","",10738.0081481481,29.775,NA,0.0249194996666667,160.333333333333,NA,"6",0.08,"Forb_herb",0.466666666666667
"Epilobium roseum","Epilobium roseum","",654,48.3,NA,0.013549267,150,NA,"7",0.09,"Herb",0.41875
"Epilobium tetragonum","Epilobium tetragonum","",NA,15.9,NA,NA,NA,NA,"7",0.114,"Herb",0.465625
"Epilobium tetragonum subsp. lamyi","Epilobium tetragonum","",NA,15.9,NA,NA,NA,NA,"7",0.114,"Herb",0.465625
"Epilobium tetragonum subsp. tetragonum","Epilobium tetragonum","",NA,15.9,NA,NA,NA,NA,"7",0.114,"Herb",0.465625
"Epipactis","Epipactis helleborine","",2502.61475,28.0505835,9.625,0.09266,204.153333333333,NA,"6_7",0.002634,"Forb_herb",1
"Epipactis helleborine","Epipactis helleborine","",2502.61475,28.0505835,9.625,0.09266,204.153333333333,NA,"6_7",0.002634,"Forb_herb",1
"Equisetum","Equisetum arvense_Equisetum palustre_Equisetum ramosissimum_Equisetum sylvaticum_Equisetum telmateia","Green",226.197203,14.8271907534594,17.143,0.0739114090909091,212.68,16.7094425,"5",NA,"Fern ally_herb_Fern_herb_Herb",0.62179032
"Equisetum arvense","Equisetum arvense","Green",326.701609,10.8995626385993,17.143,0.264995636363636,240.102,18.918885,"5",NA,"Fern_herb",0.2714516
"Equisetum palustre","Equisetum palustre","",NA,7.794,NA,0.014542,207.994,NA,"",NA,"Herb",0.3
"Equisetum ramosissimum","Equisetum ramosissimum","",NA,NA,NA,NA,NA,14.5,"",NA,"Fern ally_herb",0.9
"Equisetum sylvaticum","Equisetum sylvaticum","Green",302.17,24.4302337085714,NA,0.01305,281.026,NA,"",NA,"Fern_herb",0.325
"Equisetum telmateia","Equisetum telmateia","",49.72,16.1849666666667,NA,0.003058,121.598,NA,"",NA,"Herb",1.3125
"Eragrostis barrelieri","Eragrostis barrelieri","",NA,NA,NA,NA,NA,NA,"",0.048,"5_herb",NA
"Eragrostis cilianensis","Eragrostis cilianensis","",6063.48444444444,NA,NA,0.16844,NA,NA,"6_7",0.078,"Grass_herb",0.3125
"Eragrostis minor","Eragrostis minor","",118.09,35.55,NA,0.002788,259.226666666667,NA,"7",NA,"Grass_herb",0.125
"Eragrostis pilosa","Eragrostis pilosa","",5145.48111111111,42.116,NA,0.206584444444444,NA,NA,"7",0.045,"Herb",0.1
"Erigeron","Erigeron acris_Erigeron annuus_Erigeron bonariensis_Erigeron canadensis_Erigeron floribundus_Erigeron glabratus_Erigeron sumatrensis","",859,25.02,NA,0.048794,195.942,20.9606666666667,"6_6_7_7",0.0381904761904762,"Herb_Herb_therophyte",0.456785714285714
"Erigeron acris","Erigeron acris","",NA,NA,NA,NA,NA,20.9606666666667,"6",NA,"Herb",NA
"Erigeron annuus","Erigeron annuus","",859,25.02,NA,0.048794,195.942,NA,"6",0.03,"Herb",0.763571428571429
"Erigeron bonariensis","Erigeron bonariensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erigeron canadensis","Erigeron canadensis","",NA,NA,NA,NA,NA,NA,"6_7",0.0545714285714286,"Herb_therophyte",NA
"Erigeron canadensis x Erigeron sumatrensis","Erigeron canadensis","",NA,NA,NA,NA,NA,NA,"6_7",0.0545714285714286,"Herb_therophyte",NA
"Erigeron floribundus","Erigeron floribundus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erigeron glabratus","Erigeron glabratus","",NA,NA,NA,NA,NA,NA,"7",NA,"",0.15
"Erigeron sumatrensis","Erigeron sumatrensis","",NA,NA,NA,NA,NA,NA,"",0.03,"Herb",NA
"Erodium","Erodium ciconium_Erodium cicutarium_Erodium malacoides_Erodium moschatum","Pink",5054.93168,28.3066709048077,NA,0.17738352975,163.494136363636,19.7,"4_5",4.38187442171717,"4_herb_4_herb_shrub*_Herb",0.408214303571429
"Erodium chium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium ciconium","Erodium ciconium","",NA,NA,NA,NA,NA,NA,"",8,"Herb",NA
"Erodium cicutarium","Erodium cicutarium","Pink",1572.37336,28.320826425,NA,0.0426100595,206.927272727273,19.7,"4",2.30780508333333,"4_herb_shrub*",0.43928575
"Erodium cicutarium subsp. cicutarium","Erodium cicutarium","Pink",1572.37336,28.320826425,NA,0.0426100595,206.927272727273,19.7,"4",2.30780508333333,"4_herb_shrub*",0.43928575
"Erodium malacoides","Erodium malacoides","",NA,NA,NA,NA,NA,NA,"",NA,"4_herb",NA
"Erodium moschatum","Erodium moschatum","",8537.49,28.2925153846154,NA,0.312157,120.061,NA,"5",2.83781818181818,"Herb",0.377142857142857
"Eruca vesicaria","Eruca vesicaria","",740.55,16.5313,NA,NA,1.595,NA,"5",1.57885,"Herb",0.140176
"Erucastrum gallicum","Erucastrum gallicum","",NA,NA,NA,NA,NA,NA,"5_6",NA,"Herb",0.25
"Erucastrum nasturtiifolium","Erucastrum nasturtiifolium","",1067.69,12.218,NA,0.127158,205.647,NA,"5",NA,"Herb",0.3
"Ervilia hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervilia monanthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervilia sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum tetraspermum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium campestre","Eryngium campestre","",13052.9930769231,8.70858208955224,9.909,3.396972,223.308571428571,21.5877,"7",1.64,"Forb_herb",0.240166666666667
"Eryngium maritimum","Eryngium maritimum","",6625.63,9.96083333333333,NA,0.638472,136.616,NA,"6",21.248,"Herb",0.328125
